time,src_ip,dest_ip,duration,bytes_in,bytes_out,packets,protocol,result,probability,attack_type,ip
2025-08-18 07:29:23.059461,34.139.124.58,192.168.169.129,0,89,0,1,TCP,1,0.54,Unknown Attack,
2025-08-18 07:29:23.214658,192.168.169.129,34.139.124.58,0,54,0,1,TCP,0,0.48,,
2025-08-18 07:29:23.459725,34.139.124.58,192.168.169.129,0,519,0,1,TCP,0,0.5,,
2025-08-18 07:29:23.612376,192.168.169.129,34.139.124.58,0,54,0,1,TCP,0,0.48,,
2025-08-18 07:29:23.758006,N/A,N/A,0,60,0,1,OTHER,0,0.48,,
2025-08-18 07:29:24.137887,172.64.148.235,192.168.169.129,0,78,0,1,TCP,0,0.5,,
2025-08-18 07:29:24.231268,192.168.169.129,172.64.148.235,0,82,0,1,TCP,1,0.54,Unknown Attack,
2025-08-18 07:29:24.344693,172.64.148.235,192.168.169.129,0,60,0,1,TCP,0,0.48,,
2025-08-18 07:29:24.530914,N/A,N/A,0,60,0,1,OTHER,0,0.48,,
2025-08-18 07:29:24.575028,172.64.148.235,192.168.169.129,0,78,0,1,TCP,0,0.5,,
2025-08-18 07:29:24.629484,192.168.169.129,172.64.148.235,0,82,0,1,TCP,1,0.54,Unknown Attack,
2025-08-18 07:29:24.685524,172.64.148.235,192.168.169.129,0,60,0,1,TCP,0,0.48,,
2025-08-18 07:29:25.356636,N/A,N/A,0,60,0,1,OTHER,0,0.48,,
2025-08-18 07:29:25.512869,172.64.148.235,192.168.169.129,0,78,0,1,TCP,0,0.5,,
2025-08-18 07:29:25.617285,192.168.169.129,172.64.148.235,0,82,0,1,TCP,1,0.54,Unknown Attack,
2025-08-18 07:29:25.734762,172.64.148.235,192.168.169.129,0,60,0,1,TCP,0,0.48,,
2025-08-18 07:29:26.201381,172.64.148.235,192.168.169.129,0,78,0,1,TCP,0,0.5,,
2025-08-18 07:29:26.337114,192.168.169.129,172.64.148.235,0,82,0,1,TCP,1,0.54,Unknown Attack,
2025-08-18 07:29:26.472279,172.64.148.235,192.168.169.129,0,60,0,1,TCP,0,0.48,,
2025-08-18 07:29:26.752271,N/A,N/A,0,60,0,1,OTHER,0,0.48,,
2025-08-18 07:29:27.009945,172.64.148.235,192.168.169.129,0,78,0,1,TCP,0,0.5,,
2025-08-18 07:29:27.121474,192.168.169.129,172.64.148.235,0,82,0,1,TCP,1,0.54,Unknown Attack,
2025-08-18 07:29:27.196772,172.64.148.235,192.168.169.129,0,60,0,1,TCP,0,0.48,,
2025-08-18 07:29:27.359237,N/A,N/A,0,60,0,1,OTHER,0,0.48,,
2025-08-18 07:29:28.362214,N/A,N/A,0,60,0,1,OTHER,0,0.48,,
2025-08-18 07:29:29.664801,172.64.148.235,192.168.169.129,0,78,0,1,TCP,0,0.5,,
2025-08-18 07:29:29.701252,192.168.169.129,172.64.148.235,0,82,0,1,TCP,1,0.54,Unknown Attack,
2025-08-18 07:29:29.748575,172.64.148.235,192.168.169.129,0,60,0,1,TCP,0,0.48,,
,,,12.5,1024,2048,15,TCP,0,0.43,,192.168.1.10
,,,7.2,512,1024,8,UDP,0,0.3,,192.168.1.15
,,,20.0,2048,4096,25,TCP,0,0.5,,192.168.1.20
,,,5.5,256,512,4,ICMP,0,0.34,,192.168.1.25
,,,15.3,1500,3000,18,UDP,0,0.45,,192.168.1.30
,,,12.5,1024,2048,15,TCP,0,0.43,,192.168.1.10
,,,7.2,512,1024,8,UDP,0,0.3,,192.168.1.15
,,,20.0,2048,4096,25,TCP,0,0.5,,192.168.1.20
,,,5.5,256,512,4,ICMP,0,0.34,,192.168.1.25
,,,15.3,1500,3000,18,UDP,0,0.45,,192.168.1.30
2025-08-18 07:30:41.413780,192.168.169.128,,0.0,0,0,1,TCP,0,0.48,,
2025-08-18 07:30:58.404188,192.168.169.128,192.168.169.130,0.0,0,0,1,TCP,0,0.48,,
2025-08-18 07:31:06.023834,192.168.169.128,192.168.169.130,1.0,0,0,1,TCP,1,0.6,Unknown Attack,
2025-08-18 07:31:13.314571,192.168.169.128,192.168.169.130,1.0,500,0,1,TCP,1,0.72,Unknown Attack,
2025-08-18 07:31:14.259078,192.168.169.128,192.168.169.130,1.0,500,0,1,TCP,1,0.72,Unknown Attack,
2025-08-18 07:31:15.612073,192.168.169.128,192.168.169.130,1.0,500,0,1,TCP,1,0.72,Unknown Attack,
2025-08-18 07:31:20.985024,192.168.169.128,192.168.169.130,1.0,500,600,1,TCP,1,0.57,Unknown Attack,
2025-08-18 07:31:28.976908,192.168.169.128,192.168.169.130,1.0,500,600,1,TCP,1,0.57,Unknown Attack,
